,ID,Name,Sex,Age,Height,Weight
84,24,Nils Egil Aaness,M,24.0,,
85,24,Nils Egil Aaness,M,27.0,,
86,25,Alf Lied Aanning,M,24.0,,
87,26,Agnes Erika Aanonsen (-Eyde),F,17.0,169.0,65.0
88,27,Johan Aantjes,M,26.0,,
89,28,Jan-Erik Aarberg,M,43.0,170.0,77.0
90,28,Jan-Erik Aarberg,M,47.0,170.0,77.0
91,29,Willemien Aardenburg,F,22.0,,
92,30,Pepijn Aardewijn,M,26.0,189.0,72.0
93,30,Pepijn Aardewijn,M,30.0,189.0,72.0
94,31,Evald rma (rman-),M,24.0,174.0,70.0
95,32,Olav Augunson Aarnes,M,23.0,,
96,33,Mika Lauri Aarnikka,M,24.0,187.0,76.0
97,33,Mika Lauri Aarnikka,M,28.0,187.0,76.0
98,34,Jamale (Djamel-) Aarrass (Ahrass-),M,30.0,187.0,76.0
99,35,Dagfinn Sverre Aarskog,M,24.0,190.0,98.0
100,36,Stefan Remco Aartsen,M,21.0,194.0,78.0
101,36,Stefan Remco Aartsen,M,21.0,194.0,78.0
102,36,Stefan Remco Aartsen,M,21.0,194.0,78.0
103,36,Stefan Remco Aartsen,M,25.0,194.0,78.0
104,36,Stefan Remco Aartsen,M,25.0,194.0,78.0
105,37,Ann Kristin Aarnes,F,23.0,182.0,64.0
106,38,Karl Jan Aas,M,20.0,,
107,39,Lars Thorlaksn Aas,M,33.0,,
108,39,Lars Thorlaksn Aas,M,33.0,,
109,39,Lars Thorlaksn Aas,M,33.0,,
110,40,Roald Edgar Aas,M,23.0,,
111,40,Roald Edgar Aas,M,27.0,,
112,40,Roald Edgar Aas,M,27.0,,
113,40,Roald Edgar Aas,M,31.0,,
114,40,Roald Edgar Aas,M,31.0,,
115,40,Roald Edgar Aas,M,31.0,,
116,41,Rolf Aas,M,28.0,,
117,42,Thomas Valentin Aas,M,25.0,,
118,43,Morten Gjerdrum Aasen,M,34.0,185.0,75.0
119,44,Meelis Aasme,M,25.0,182.0,73.0
120,44,Meelis Aasme,M,25.0,182.0,73.0
121,44,Meelis Aasme,M,29.0,182.0,73.0
122,44,Meelis Aasme,M,29.0,182.0,73.0
123,44,Meelis Aasme,M,29.0,182.0,73.0
124,45,Hakon Aasns,M,41.0,,
125,46,Hans Aasns,M,33.0,194.0,93.0
126,46,Hans Aasns,M,45.0,194.0,93.0
127,46,Hans Aasns,M,49.0,194.0,93.0
128,46,Hans Aasns,M,53.0,194.0,93.0
129,46,Hans Aasns,M,57.0,194.0,93.0
130,47,Erling Rudolf Aastad,M,22.0,177.0,74.0
131,47,Erling Rudolf Aastad,M,22.0,177.0,74.0
132,47,Erling Rudolf Aastad,M,26.0,177.0,74.0
133,47,Erling Rudolf Aastad,M,30.0,177.0,74.0
134,48,Abdelhak Aatakni,M,24.0,,64.0
135,49,Moonika Aava,F,24.0,168.0,65.0
136,49,Moonika Aava,F,28.0,168.0,65.0
137,50,Arvi Aavik,M,22.0,185.0,106.0
138,50,Arvi Aavik,M,26.0,185.0,106.0
139,51,Nstor Abad Sanjun,M,23.0,167.0,64.0
140,51,Nstor Abad Sanjun,M,23.0,167.0,64.0
141,51,Nstor Abad Sanjun,M,23.0,167.0,64.0
142,51,Nstor Abad Sanjun,M,23.0,167.0,64.0
143,51,Nstor Abad Sanjun,M,23.0,167.0,64.0
144,51,Nstor Abad Sanjun,M,23.0,167.0,64.0
145,52,Patrick Abada,M,22.0,189.0,80.0
146,53,Talaat Abada,M,24.0,172.0,58.0
147,54,Mohamed Jamshid Abadi,M,,,
148,55,Antonio Abadia Beci,M,26.0,170.0,65.0
149,56,Ren Abadie,M,21.0,,
150,56,Ren Abadie,M,21.0,,
151,57,Borislav Abadzhiev,M,24.0,176.0,66.0
152,58,Georgi Abadzhiev,M,,,
153,58,Georgi Abadzhiev,M,,,
154,59,Ivan Nikolov Abadzhiev,M,24.0,164.0,71.0
155,59,Ivan Nikolov Abadzhiev,M,28.0,164.0,71.0
156,60,Mikhail Abadzhiev,M,24.0,172.0,75.0
157,61,Stefan Abadzhiev,M,26.0,175.0,72.0
158,62,Giovanni Abagnale,M,21.0,198.0,90.0
159,63,Jos Luis Abajo Gmez,M,30.0,194.0,87.0
160,64,M'Bairo Abakar,M,31.0,,
161,65,Patimat Abakarova,F,21.0,165.0,49.0
162,66,Mohamed Abakkar,M,,156.0,48.0
163,67,Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0
164,67,Mariya Vasilyevna Abakumova (-Tarabina),F,26.0,179.0,80.0
165,68,Pablo Martn Abal,M,23.0,178.0,76.0
166,68,Pablo Martn Abal,M,23.0,178.0,76.0
167,69,Tamara Abalde Daz,F,19.0,185.0,72.0
168,70,Jess Iory Aball Martnez,M,26.0,167.0,65.0
169,71,Juan Antonio Aball Delgado,M,27.0,172.0,82.0
170,71,Juan Antonio Aball Delgado,M,27.0,172.0,82.0
171,72,Aleksey Aleksandrovich Abalmasov,M,24.0,180.0,83.0
172,72,Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0
173,73,Luc Abalo,M,23.0,182.0,86.0
174,73,Luc Abalo,M,27.0,182.0,86.0
175,73,Luc Abalo,M,31.0,182.0,86.0
176,74,Mara Laura Abalo,F,30.0,182.0,73.0
177,75,Giorgos Abalof,M,22.0,178.0,70.0
178,76,Jouan Patrice Abanda Etong,M,22.0,185.0,82.0
179,77,Antoine Abang,M,27.0,166.0,75.0
180,78,Salim Abanoz,M,26.0,,
181,79,Carlos Abarca Gonzlez,M,23.0,,
182,80,Jos Mara Abarca Plotas,M,22.0,186.0,83.0
183,81,Georgios Abaris,M,22.0,190.0,77.0
184,82,Enrique Abaroa Martnez,M,26.0,183.0,75.0
185,83,Carlos Arturo Abarza Chavez,M,22.0,,
186,84,Stephen Anthony Abas,M,26.0,165.0,55.0
187,85,Alejandro Abascal Garca,M,24.0,181.0,82.0
188,85,Alejandro Abascal Garca,M,28.0,181.0,82.0
189,85,Alejandro Abascal Garca,M,32.0,181.0,82.0
190,86,Jos Manuel Abascal Gmez,M,22.0,182.0,67.0
191,86,Jos Manuel Abascal Gmez,M,26.0,182.0,67.0
192,87,Rost'om Omeris dze Abashidze,M,29.0,188.0,97.0
193,88,Nunu Dzhansuhivna Abashydze (-Myslaieva),F,25.0,168.0,105.0
194,89,Rodrigo Abasolo,M,21.0,,
195,90,Tamila Rashidovna Abasova,F,21.0,163.0,60.0
196,90,Tamila Rashidovna Abasova,F,21.0,163.0,60.0
197,91,Emanuele Abate,M,27.0,190.0,80.0
198,92,Ignazio Abate,M,21.0,180.0,73.0
199,93,Jol Marc Abati,M,34.0,190.0,85.0
200,93,Jol Marc Abati,M,38.0,190.0,85.0
201,94,Ral Abatte,M,38.0,,
202,95,Georgia Abatzidou,F,35.0,155.0,43.0
203,96,Carlos Rodolfo Abaunza Balladares,M,18.0,168.0,60.0
204,97,Carlos Alberto Abaunza,M,16.0,180.0,70.0
205,98,Hctor Abaunza,M,30.0,169.0,75.0
206,98,Hctor Abaunza,M,30.0,169.0,75.0
207,98,Hctor Abaunza,M,30.0,169.0,75.0
208,99,Pter Abay,M,30.0,181.0,79.0
209,100,Oszkr Abay-Nemes,M,22.0,,
210,100,Oszkr Abay-Nemes,M,22.0,,
211,101,Adeyemi Abayomi,M,25.0,170.0,51.0
212,102,Sayed Fahmy Abaza,M,,,
213,102,Sayed Fahmy Abaza,M,,,
214,103,Silvano Abba,M,25.0,,
215,104,Gana Abba Kimet,M,26.0,,
216,105,Ilyas Abbadi,M,19.0,175.0,75.0
217,105,Ilyas Abbadi,M,23.0,175.0,75.0
218,106,Agostino Abbagnale,M,22.0,188.0,96.0
219,106,Agostino Abbagnale,M,29.0,188.0,96.0
220,106,Agostino Abbagnale,M,34.0,188.0,96.0
221,107,Carmine Abbagnale,M,22.0,182.0,90.0
222,107,Carmine Abbagnale,M,26.0,182.0,90.0
223,107,Carmine Abbagnale,M,30.0,182.0,90.0
224,107,Carmine Abbagnale,M,34.0,182.0,90.0
225,108,Giuseppe Abbagnale,M,20.0,187.0,97.0
226,108,Giuseppe Abbagnale,M,25.0,187.0,97.0
227,108,Giuseppe Abbagnale,M,29.0,187.0,97.0
228,108,Giuseppe Abbagnale,M,33.0,187.0,97.0
229,109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23.0,176.0,64.0
230,109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23.0,176.0,64.0
231,109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,27.0,176.0,64.0
232,110,Abubakar Abbas Abbas,M,20.0,175.0,66.0
233,111,Aqarab Abbas,M,22.0,190.0,88.0
234,112,Aziz Abbas,M,21.0,169.0,67.0
235,113,Bassim Abbas Kati Al-Ogaili,M,22.0,175.0,80.0
236,114,Essa Abbas Faleh Hashem,M,20.0,160.0,65.0
237,115,Ghulam Abbas,M,24.0,181.0,74.0
238,116,Hosni Mohamed Abbas,M,28.0,,60.0
239,116,Hosni Mohamed Abbas,M,32.0,,60.0
240,117,Maher Abbas,M,22.0,178.0,78.0
241,117,Maher Abbas,M,22.0,178.0,78.0
242,118,Mahmoud Abbas,M,22.0,165.0,65.0
243,119,Mohamed Fakhry Rifaat Abbas,M,19.0,,
244,120,Mohammed Abbas Sabih,M,26.0,170.0,70.0
245,121,Muhammad Abbas,M,23.0,168.0,55.0
246,122,Nader Sufyan Abbas,M,28.0,173.0,77.0
247,123,Sohail Abbas,M,25.0,178.0,80.0
248,123,Sohail Abbas,M,29.0,178.0,80.0
249,123,Sohail Abbas,M,37.0,178.0,80.0
250,124,Youssef Mohamed Abbas,M,31.0,,
251,125,Zulkifli Abbas,M,28.0,170.0,62.0
252,126,Forough Abbasi,F,20.0,164.0,58.0
253,127,Shakeel Abbasi,M,20.0,165.0,60.0
254,127,Shakeel Abbasi,M,24.0,165.0,60.0
255,127,Shakeel Abbasi,M,28.0,165.0,60.0
256,128,Soulmaz Abbasi Azad,F,28.0,173.0,60.0
257,129,Ruslan Abbasov,M,22.0,181.0,74.0
258,130,Tural Abbasov,M,18.0,182.0,76.0
259,131,Tran Abbasova,F,33.0,159.0,53.0
260,132,Simona Abbate,F,28.0,171.0,64.0
261,133,Franz Abb,M,,,
262,134,Christian Abbiati,M,23.0,192.0,90.0
263,135,Lois Abbingh,F,23.0,178.0,72.0
264,136,Alessandro Abbio,M,29.0,195.0,85.0
265,137,Giordano Giulio Abbondati,M,15.0,175.0,64.0
266,137,Giordano Giulio Abbondati,M,19.0,175.0,64.0
267,138,Salwan Jasim Abbood Abbood,M,24.0,180.0,104.0
268,139,"George ""Ioannis"" Abbot",M,,,
269,140,"William ""Bill"" Abbott Jr.",M,42.0,172.0,80.0
270,140,"William ""Bill"" Abbott Jr.",M,46.0,172.0,80.0
271,141,Clare Abbott,F,30.0,167.0,58.0
272,141,Clare Abbott,F,30.0,167.0,58.0
273,142,"David ""Dave"" Abbott",M,26.0,183.0,75.0
274,143,"Desmond ""Des"" Abbott",M,21.0,184.0,87.0
275,144,Geoffrey Grant Abbott,M,23.0,179.0,80.0
276,145,Jeremy Abbott,M,24.0,175.0,70.0
277,145,Jeremy Abbott,M,28.0,175.0,70.0
278,145,Jeremy Abbott,M,28.0,175.0,70.0
279,146,Jeremy Abbott,M,19.0,179.0,71.0
280,147,Joanne Abbott,F,41.0,160.0,57.0
281,148,"Kathryn ""Katie"" Abbott",F,21.0,164.0,63.0
282,149,Mara Katherine Abbott,F,30.0,163.0,52.0
283,150,Margaret Ives Abbott (-Dunne),F,23.0,,
284,151,Mary Perkins Ives Abbott (Perkins-),F,42.0,,
285,152,Matt Abbott,M,34.0,185.0,91.0
286,153,Monica Cecilia Abbott,F,23.0,191.0,88.0
287,154,Khadija Abbouda,F,40.0,165.0,57.0
288,155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,22.0,185.0,98.0
289,155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,26.0,185.0,98.0
290,155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,34.0,185.0,98.0
291,156,Mahmoud Abd El-Kader,M,23.0,195.0,94.0
292,157,Mohamed Ibrahim Abd El-Salam,M,22.0,192.0,83.0
293,157,Mohamed Ibrahim Abd El-Salam,M,26.0,192.0,83.0
294,158,Noha Abd Rabo,F,21.0,,
295,159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,15.0,167.0,60.0
296,159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,15.0,167.0,60.0
297,159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,19.0,167.0,60.0
298,160,Ali Abdalla Afringi,M,25.0,163.0,57.0
299,161,Hossam Abdalla,M,28.0,203.0,97.0
300,162,Hosam Abdallah,M,25.0,,
301,162,Hosam Abdallah,M,29.0,,
302,163,Ismail Abdallah,M,,,
303,163,Ismail Abdallah,M,,,
304,163,Ismail Abdallah,M,,,
305,163,Ismail Abdallah,M,,,
306,163,Ismail Abdallah,M,,,
307,163,Ismail Abdallah,M,,,
308,163,Ismail Abdallah,M,,,
309,163,Ismail Abdallah,M,,,
310,164,Maged Abdallah,M,22.0,,
311,165,Nia Nicole Abdallah,F,20.0,175.0,56.0
312,166,Omari Abdallah,M,21.0,168.0,57.0
313,166,Omari Abdallah,M,29.0,168.0,57.0
314,167,Ould Lamine Abdallah,M,,,
315,168,Younis Abdallah Rabee,M,23.0,169.0,68.0
316,169,Raida Abdallah Bader,F,19.0,158.0,49.0
317,170,Maha Abdalsalam Gouda,F,18.0,172.0,61.0
318,171,Mahmoud Abdel Aziz,M,25.0,174.0,70.0
319,172,Mohamed Abdel Ellah,M,32.0,168.0,68.0
320,173,Mohamed Abdel Fatah,M,,170.0,69.0
321,174,Ali Mohamed Badawi Abdel Fattah Badawi,M,19.0,,
322,175,Abdelgani Hassan Abdel Fattah,M,31.0,,
323,176,Mahmoud Atter Abdel Fattah,M,,,
324,177,Mohamed Abdel Fattah,M,23.0,174.0,69.0
325,178,Sayed Abdel Gadir,M,23.0,180.0,56.0
326,178,Sayed Abdel Gadir,M,32.0,180.0,56.0
327,179,Ibrahim Saad Abdel Galil,M,,176.0,73.0
328,179,Ibrahim Saad Abdel Galil,M,,176.0,73.0
329,180,Heba Abdel Gawad,F,18.0,154.0,48.0
330,180,Heba Abdel Gawad,F,22.0,154.0,48.0
331,181,Sara Abdel Gawad,F,18.0,153.0,46.0
332,182,Gamal Amin Abdel Ghani,M,29.0,,
333,183,Abdel Sattar Abdel Hadj,M,,,
334,184,Ragy Abdel Hady,M,30.0,186.0,100.0
335,185,Osman Abdel Hafeez,M,31.0,,
336,185,Osman Abdel Hafeez,M,31.0,,
337,185,Osman Abdel Hafeez,M,31.0,,
338,185,Osman Abdel Hafeez,M,35.0,,
339,185,Osman Abdel Hafeez,M,35.0,,
340,186,Mohamed Abdel Hafiz,M,,,
341,187,Moustafa Ali Abdel Halim,M,32.0,152.0,52.0
342,188,Mohamed Abdel Hamed,M,24.0,193.0,82.0
343,189,Hwad Ibrahim Abdel Hamid Lumomba,M,,162.0,57.0
344,190,Ibrahim Abdel Hamid,M,,,
345,191,Tamer Mohamed Abdel Hamid,M,20.0,,
346,192,Ahmed El-Sayed Abdel Hamid Mobarak,M,25.0,189.0,85.0
347,193,Dorri Abdel Kader Said,M,21.0,,
348,193,Dorri Abdel Kader Said,M,21.0,,
349,193,Dorri Abdel Kader Said,M,21.0,,
350,193,Dorri Abdel Kader Said,M,25.0,,
351,193,Dorri Abdel Kader Said,M,25.0,,
352,193,Dorri Abdel Kader Said,M,33.0,,
353,194,Moustafa Mounib Abdel Kader,M,,176.0,67.0
354,195,Mohamed Ali Abdel Kerim,M,24.0,,81.0
355,195,Mohamed Ali Abdel Kerim,M,32.0,,81.0
356,196,Mohamed Abdel Khaled,M,24.0,183.0,76.0
357,197,Abdel Latif Abdel Latif,M,28.0,172.0,68.0
358,198,Walid Abdel Maksoud,M,29.0,,
359,199,Amir Abdel Meguid,M,23.0,178.0,67.0
360,199,Amir Abdel Meguid,M,27.0,178.0,67.0
361,200,Mohamed Abdel Mohamed,M,24.0,,
362,201,Karim Abdel Mohsen,M,25.0,188.0,92.0
363,202,Awad Abdel Nabi Awad,M,19.0,198.0,80.0
364,202,Awad Abdel Nabi Awad,M,23.0,198.0,80.0
365,203,Ahmed Abdel Naeim,M,23.0,197.0,87.0
366,203,Ahmed Abdel Naeim,M,31.0,197.0,87.0
367,204,Moustafa Abdel Naser,M,21.0,176.0,74.0
368,205,Ali Abdel Radi,M,24.0,,
369,206,Amin Abdel Rahman,M,18.0,,
370,206,Amin Abdel Rahman,M,22.0,,
371,207,Mohamed Fathallah Abdel Rahman,M,21.0,,
372,207,Mohamed Fathallah Abdel Rahman,M,33.0,,
373,207,Mohamed Fathallah Abdel Rahman,M,33.0,,
374,207,Mohamed Fathallah Abdel Rahman,M,37.0,,
375,207,Mohamed Fathallah Abdel Rahman,M,37.0,,
376,207,Mohamed Fathallah Abdel Rahman,M,37.0,,
377,207,Mohamed Fathallah Abdel Rahman,M,37.0,,
378,208,Fathi Ali Abdel Rahman,M,20.0,,
379,209,Ibrahim Abdel Rahman,M,,,
380,210,Khaled Abdel Rahman,M,27.0,188.0,79.0
381,211,Sameh Abdel Rahman,M,16.0,,
382,211,Sameh Abdel Rahman,M,21.0,,
383,211,Sameh Abdel Rahman,M,21.0,,
384,212,Yasser Abdel Rahman Sakr,M,30.0,180.0,120.0
385,213,Samy Abdel Razek,M,28.0,170.0,60.0
386,213,Samy Abdel Razek,M,36.0,170.0,60.0
387,213,Samy Abdel Razek,M,36.0,170.0,60.0
388,214,Mohamed Youssef Abdel Razik,M,21.0,,
389,215,Ibrahim Ahmed Abdel Rehim,M,21.0,190.0,83.0
390,216,Kamal Abdel Rehim,M,26.0,190.0,95.0
391,217,Reskalla Mohamed Abdel Rehim,M,22.0,165.0,48.0
392,218,Ahmed Ali Abdel Samad,M,27.0,195.0,95.0
393,219,Ali Abdel Sami,M,28.0,,
394,220,Mohamed Abdel Sami,M,,,
395,221,Sameh Abdel Waress Muhammad,M,24.0,,
396,222,Mohamed Said Abdel Wehab,M,22.0,157.0,48.0
397,223,Mahmoud Abdel-Aal,M,19.0,,
398,223,Mahmoud Abdel-Aal,M,19.0,,
399,223,Mahmoud Abdel-Aal,M,19.0,,
400,223,Mahmoud Abdel-Aal,M,19.0,,
401,223,Mahmoud Abdel-Aal,M,19.0,,
402,223,Mahmoud Abdel-Aal,M,19.0,,
403,223,Mahmoud Abdel-Aal,M,19.0,,
404,223,Mahmoud Abdel-Aal,M,19.0,,
405,224,Mohamed Abdel-El,M,,,
406,225,Shaimaa Abdel-Latif-Hashad,F,23.0,165.0,57.0
407,225,Shaimaa Abdel-Latif-Hashad,F,27.0,165.0,57.0
408,225,Shaimaa Abdel-Latif-Hashad,F,35.0,165.0,57.0
409,226,Sanad Bushara Abdel-Nadif,M,,,
410,227,Ahmed Abdelaal,M,27.0,188.0,89.0
411,228,Mahmoud Abdelaal,M,24.0,176.0,60.0
412,229,Mohamed Ali Abdelaal,M,26.0,175.0,81.0
413,230,Moustafa Abdelal,M,,,
414,230,Moustafa Abdelal,M,,,
415,230,Moustafa Abdelal,M,,,
416,230,Moustafa Abdelal,M,,,
417,230,Moustafa Abdelal,M,,,
418,230,Moustafa Abdelal,M,,,
419,230,Moustafa Abdelal,M,,,
420,230,Moustafa Abdelal,M,,,
421,231,Mahmod Abdelaly,M,41.0,,
422,232,Ibrahim Ramadan Ibrahim Abdelbaki,M,24.0,173.0,77.0
423,232,Ibrahim Ramadan Ibrahim Abdelbaki,M,28.0,173.0,77.0
424,233,Aziza Abdelfattah,F,17.0,159.0,51.0
425,234,Abdalla Abdelgadir El-Sheikh,M,21.0,170.0,58.0
426,235,Magdi Abdelghani Sayed Ahmed,M,25.0,,
427,236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,21.0,170.0,94.0
428,236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,25.0,170.0,94.0
429,237,Ben Ahmed Abdelkrim,M,20.0,,
430,238,Mohamed Abdellah,M,36.0,170.0,70.0
431,238,Mohamed Abdellah,M,40.0,170.0,70.0
432,239,Ayoub Abdellaoui,M,23.0,184.0,68.0
433,240,Leila Abdelmoez,F,19.0,160.0,46.0
434,241,Sayed Abdelmonem Sayed Hamed,M,23.0,170.0,60.0
435,242,Ahmed Abdelrahman,M,20.0,165.0,60.0
436,243,Ihab Abdelrahman El-Sayed Abdelrahman,M,23.0,194.0,96.0
437,244,Raouf Abdelraouf,M,22.0,167.0,63.0
438,244,Raouf Abdelraouf,M,22.0,167.0,63.0
439,244,Raouf Abdelraouf,M,22.0,167.0,63.0
440,244,Raouf Abdelraouf,M,22.0,167.0,63.0
441,244,Raouf Abdelraouf,M,22.0,167.0,63.0
442,245,Abouelfetoh Abdelrazek,M,21.0,,
443,246,Mamdouh Abdelrehim,M,26.0,207.0,90.0
444,247,El-Hachemi Abdenouz,M,24.0,170.0,63.0
445,248,Rda Abdenouz,M,19.0,170.0,63.0
446,248,Rda Abdenouz,M,23.0,170.0,63.0
447,249,Mouni Abderrahim,F,22.0,173.0,60.0
448,249,Mouni Abderrahim,F,26.0,173.0,60.0
449,250,Saeid Morad Abdevali,M,22.0,170.0,80.0
450,250,Saeid Morad Abdevali,M,26.0,170.0,80.0
451,251,Bashir Abdi,M,27.0,176.0,56.0
452,251,Bashir Abdi,M,27.0,176.0,56.0
453,252,Youcef Abdi,M,30.0,178.0,66.0
454,252,Youcef Abdi,M,34.0,178.0,66.0
455,253,Jamal Abdi Hassan Abdullah,M,19.0,177.0,65.0
456,253,Jamal Abdi Hassan Abdullah,M,23.0,177.0,65.0
457,254,Talal Omar Abdillahi,M,21.0,170.0,57.0
458,254,Talal Omar Abdillahi,M,25.0,170.0,57.0
459,255,Mahmoud Ahmed Abdin,M,21.0,,
460,255,Mahmoud Ahmed Abdin,M,21.0,,
461,255,Mahmoud Ahmed Abdin,M,29.0,,
462,255,Mahmoud Ahmed Abdin,M,29.0,,
463,255,Mahmoud Ahmed Abdin,M,29.0,,
464,255,Mahmoud Ahmed Abdin,M,29.0,,
465,255,Mahmoud Ahmed Abdin,M,41.0,,
466,256,"Abdihakim ""Abdi"" Abdirahman",M,23.0,178.0,61.0
467,256,"Abdihakim ""Abdi"" Abdirahman",M,27.0,178.0,61.0
468,256,"Abdihakim ""Abdi"" Abdirahman",M,31.0,178.0,61.0
469,256,"Abdihakim ""Abdi"" Abdirahman",M,35.0,178.0,61.0
470,257,Ali Abdo,M,19.0,169.0,74.0
471,257,Ali Abdo,M,23.0,169.0,74.0
