"Company","Exchange","Ticker","Industry","Year Founded","Locations","Nb of Employees","Credit Rating FCLT","Credit Rating LCLT","Type","NOSH","Price (USD)","TEV (USDmm)","Total Revenue (USDmm)","Gross Profit (USDmm)","EBITDA (USDmm)","EBIT (USDmm)","Net Income (USDmm)","Cash And Equivalents (USDmm)","Net PP&E (USDmm)","Total Assets (USDmm)","Total Debt (USDmm)","Total Equity (USDmm)","Basic EPS (USD)","EPS Est (USD)","Nb EPS Est","EBITDA Est (USDmm)","Nb EBITDA Est","EBIT Est (USDmm)","Nb EBIT Est"
"Meta Platforms, Inc. ","NasdaqGS","META","Communication Services",2004,"US/CA",83553,"AA-","AA-","Public Company",2687.5,168.78,429794.4,117929,96094,48033,39889,33630,16601,69964,165987,14454,124879,12.2,9.14,41,51610.2,30,30067.75,43
"Taiwan Semiconductor Manufacturing Company Limited ","TWSE","2330","Information Technology",1987,"APAC",54193,"AA-","AA-","Public Company",25930.4,16.93,421664,57280.5,34687.9,42886.8,28245.7,25616.7,38429.3,72451.7,134431.6,27273.1,78329.1,0.988,1.25,26,53104.4,18,36015.1,27
"Tencent Holdings Limited ","SEHK","700","Communication Services",1998,"APAC",110715,"A+","A+","Public Company",9534,41.32,414244.1,88171.5,35151.7,22996.4,15242.3,26346,26440.5,13900.6,253811.7,50976.6,138005.4,2.76,1.98,33,26047.8,26,21464.45,38
"Nestlé S.A. ","SWX","NESN","Consumer Staples",1866,"EU",276000,"AA-","AA-","Public Company",2759.6,121.17,384728.7,95951.1,44612.9,18927,16214.6,16972.8,7665.6,31093.3,152633.3,51439.8,58936.4,6.17,5.11,22,21058.3,20,17019.69,19
"Toyota Motor Corporation ","TSE","7203","Consumer Discretionary",1933,"APAC",376971,"A+","A+","Public Company",13687.6,15.42,381614,258407.9,42042.7,30234.7,18962.9,19788.8,35406.2,63824.2,557412,221605.7,223617.9,1.43,1.66,20,36177.9,14,26064.63,20
"The Procter & Gamble Company ","NYSE","PG","Consumer Staples",1837,"US/CA",106000,"AA-","AA-","Public Company",2389.6,145.7,374345,80187,38212,21501,18694,14742,7214,21955,117208,32293,46854,6,5.95,21,21285.5,15,18321.06,16
"LVMH Moët Hennessy - Louis Vuitton, Société Européenne ","ENXTPA","MC","Consumer Discretionary",1923,"EU",157953,"A+","A+","Public Company",502.1,685.37,372481.6,73029.7,51863.9,23466.4,20623,13870,9122,38551.1,142512.2,39285.8,55622.7,27.6,29.2,25,27396.2,18,21910.68,25
"Verizon Communications Inc. ","NYSE","VZ","Communication Services",1983,"US/CA",118400,"BBB+","BBB+","Public Company",4199.7,43.74,362242.5,133613,77031,43149,26653,20799,2921,127579,366596,178942,83200,4.98,5.2,23,49076.8,21,31632.87,18
"Mastercard Incorporated ","NYSE","MA","Information Technology",1966,"US/CA",24000,"A+","A+","Public Company",966.4,344.67,340972.8,18884,20865,12589,11831,9699,7421,1907,37669,14673,7412,9.91,11.2,31,14461,20,13640.92,31
"Chevron Corporation ","NYSE","CVX","Energy",1879,"US/CA",42595,"AA-","AA-","Public Company",1957.4,164.62,337105.9,155606,82272,47275,31184,29047,5640,150629,239535,34872,139940,15.1,18.4,22,65550.1,14,47056.48,11
"Eli Lilly and Company ","NYSE","LLY","Health Care",1876,"US/CA",35000,"A+","A+","Public Company",950.2,323.14,320677.3,28318.4,21922.3,10424,8811.4,5691.6,3818.5,8985.1,48806,17612.2,9154.8,6.3,7.92,17,10566.9,11,9126.79,14
"The Coca-Cola Company ","NYSE","KO","Consumer Staples",1886,"US/CA",79000,"A+","A+","Public Company",4324.6,64.67,312669.8,38655,24336,13228,11879,9571,9684,11338,94354,44246,24860,2.21,2.5,21,13812.8,11,12385.11,15
"AbbVie Inc. ","NYSE","ABBV","Health Care",2012,"US/CA",50000,"BBB+","BBB+","Public Company",1768.1,139.33,309608.9,56197,40560,27170,18959,12637,9746,5872,146529,77597,15436,7.1,13.5,21,29459.1,5,29021.51,17
"AT&T Inc. ","NYSE","T","Communication Services",1983,"US/CA",203000,"BBB","BBB","Public Company",7125.9,18.09,304705.7,168864,84468,52527,32669,19928,21169,150084,551622,208662,183855,2.75,2.44,27,41768.1,25,22488.14,19
"Roche Holding AG ","SWX","ROG","Health Care",1896,"EU",100920,"AA","AA","Public Company",801.1,331.29,299018.5,72234.8,51129.9,26012.9,22463.6,15521.4,7514.2,26779,101268.1,35708.3,31093.3,19.4,21.9,19,26840.9,13,23727.55,14
"T-Mobile US, Inc. ","NasdaqGS","TMUS","Communication Services",1994,"US/CA",75000,"BBB-","BBB-","Public Company",1254,147.07,293356.8,80118,46552,25786,10693,1718,6631,70084,206563,108817,69102,1.37,4.65,5,28104.3,21,10698.33,18
"Deutsche Telekom AG ","XTRA","DTE","Communication Services",1995,"EU",210595,"BBB","BBB","Public Company",4971.9,18.81,285140,127013.5,46772.9,33412.1,13923.3,7077.1,8662.6,99215.3,320285.5,164449,92652.1,1.44,1.56,16,48085.5,15,21689.12,10
"PepsiCo, Inc. ","NasdaqGS","PEP","Consumer Staples",1898,"US/CA",309000,"A+","A+","Public Company",1379.9,179.27,281083.8,79474,43661,14816,12259,9236,5596,24427,92377,42378,16151,6.68,6.94,18,15441.9,10,12529.45,14
"Pfizer Inc. ","NYSE","PFE","Health Care",1849,"US/CA",79000,"A+","A+","Public Company",5612.4,47.9,276270.7,81288,63555,43521,38536,29308,1944,17721,181476,41395,77463,5.23,5.91,19,41574.8,11,35519.7,10
"The Walt Disney Company ","NYSE","DIS","Communication Services",1923,"US/CA",166250,"BBB+","BBB+","Public Company",1823.1,117.46,266137.4,67418,27922,11926,6805,3142,15959,36855,203609,58313,102224,1.73,4.83,24,16803,13,15025.35,14
"Comcast Corporation ","NasdaqGS","CMCSA","Communication Services",1963,"US/CA",189000,"A-","A-","Public Company",4413.2,37.6,259473.8,116385,81928,36283,22208,14037,8711,60514,275905,107259,98009,3.1,3.7,32,37324.8,33,23377.71,27
"Thermo Fisher Scientific Inc. ","NYSE","TMO","Health Care",1956,"US/CA",130000,"A-","A-","Public Company",391.8,585.47,257930.7,39211,19979,12741,9735,7439,4477,9864,95123,36339,40977,18.9,22.5,22,11392.5,17,10581,14
"Broadcom Inc. ","NasdaqGS","AVGO","Information Technology",2018,"US/CA",20000,"BBB-","BBB-","Public Company",403.8,550.13,252640.2,27450,22464,16857,11299,8927,12163,2936,75570,40273,24989,21,39.5,26,21708.3,6,21161.84,20
"Merck & Co., Inc. ","NYSE","MRK","Health Care",1891,"US/CA",67500,"A+","A+","Public Company",2533.3,90.27,250288.2,48704,40458,23481,19958,16579,8096,20865,105694,34631,38257,6.56,6.8,23,24576.1,11,22306.36,17
"Volkswagen AG ","XTRA","VOW3","Consumer Discretionary",1937,"EU",641900,"BBB+","BBB+","Public Company",501.3,141.4,249998.5,284544.5,48139.2,29743.9,22471.3,18381.8,28990.1,73922.4,601170.2,239056.1,166216.3,35.5,33.7,15,38570.8,10,20999.64,15
"Novo Nordisk A/S ","CPSE","NOVO B","Health Care",1923,"EU",50816,"AA-","AA-","Public Company",2265.5,110.12,248715.5,21536.3,18564.5,10131.9,9442,7109.7,1639.7,8468,29751.2,4075.5,10821.1,3.12,3.73,20,11987.5,21,10990.34,24
"Shell plc ","LSE","SHEL","Energy",1907,"EU",82000,"A+","A+","Public Company",7282.6,27.42,246931.1,261504,82203,64382,44250,36170,36970,194932,404379,89086,175326,4.74,5.35,16,80007.3,19,53472.03,14
"NextEra Energy, Inc. ","NYSE","NEE","Utilities",1925,"US/CA",15000,"A-","A-","Public Company",1964.8,89.39,244521.6,17069,7981,6595,2172,2580,639,100100,140912,55027,45669,1.31,2.69,18,11228.9,11,6471.2,10
"Costco Wholesale Corporation ","NasdaqGS","COST","Consumer Staples",1976,"US/CA",288000,"A+","A+","Public Company",443,550.77,241757.1,195929,26981,10069,8204,5646,11258,27382,59268,11407,18078,12.7,13.9,18,10514.8,19,8396.51,26
"Alibaba Group Holding Limited ","NYSE","BABA","Consumer Discretionary",1999,"APAC",245700,"A+","A+","Public Company",2647.5,99.89,241231.1,134554.5,46066.3,20270.2,13522.8,5946.9,29952.8,39410.6,267441.6,27854.9,169172.7,2.2,7.87,34,25836,27,15488.12,34
"Reliance Industries Limited ","NSEI","RELIANCE","Energy",1973,"APAC",342982,"BBB+","BBB+","Public Company",6352.3,32.75,235979.2,92234,31364.8,15733.4,11798.3,8401.4,4767.2,74912,197610.9,37155.7,117141.4,1.26,1.48,29,9866.3,29,8723.84,25
"Danaher Corporation ","NYSE","DHR","Health Care",1969,"US/CA",79000,"A-","A-","Public Company",727.4,290.97,230517.8,29453,18803,10764,8506,6351,2586,4831,83184,23272,45177,8.64,10.2,22,10286.7,15,8411.07,9
"Samsung Electronics Co., Ltd. ","KOSE","A005930","Information Technology",1938,"APAC",113957,"AA-","AA-","Public Company",6792.7,44.94,228237.1,234733.3,95971.5,73234.8,44691.1,34565.6,32767.6,125867.7,358156.1,15440.5,255969,5.09,4.14,29,64153,31,36355,30
"L'Oréal S.A. ","ENXTPA","OR","Consumer Staples",1909,"EU",85412,"AA","AA","Public Company",536.7,358.33,197321.3,36719.7,27135.4,7749.8,7220.9,5704.9,3086.3,5429.1,48917.8,7165.2,26831.1,10.5,11.3,21,9468.2,18,7627.34,19
"CVS Health Corporation ","NYSE","CVS","Health Care",1963,"US/CA",258000,"BBB","BBB","Public Company",1312.8,102.15,193606.5,290912,52533,18835,14444,8167,9408,32018,232999,75999,75381,6.2,8.66,23,20087,13,17555.15,13
"Accenture plc ","NYSE","ACN","Information Technology",1951,"EU",710000,"AA-","AA-","Public Company",632.5,309.77,193347.7,50533.4,19221.7,10042.7,9057.7,6628.3,8168.2,4821.6,43175.8,3506.6,20097.1,10.5,11.7,10,12252,13,10053.93,19
"Abbott Laboratories ","NYSE","ABT","Health Care",1888,"US/CA",113000,"AA-","AA-","Public Company",1751.2,105.89,193213.7,43075,26411,13951,10576,8554,9799,10112,75196,19251,36024,4.83,4.08,20,9857.7,11,8431.69,17
"Novartis AG ","SWX","NOVN","Health Care",1996,"EU",108000,"AA-","AA-","Public Company",2182.8,83.17,192968.9,52877,37802,18429,13270,22982,12407,13106,131795,31093,67822,10.3,6.42,19,18401.6,16,17270.37,15
"CITIC Limited ","SEHK","267","Industrials",1987,"APAC",136637,"BBB+","BBB+","Public Company",29090.3,1.05,191293.4,115889.4,56123.3,44246.2,42485.3,9005.4,927.4,27675.9,1370337.4,242368,149478.1,0.31,0.326,4,27038.5,3,16054.27,4
"United Parcel Service, Inc. ","NYSE","UPS","Industrials",1907,"US/CA",400945,"A","A","Public Company",868.7,205,190133.9,97287,24543,16637,13619,10933,10255,37037,69405,25538,14269,12.5,12.9,27,17275.3,19,14000.12,24
"Adobe Inc. ","NasdaqGS","ADBE","Information Technology",1982,"US/CA",25988,"A+","A+","Public Company",468,403.93,188398.2,15785,14668,6662,6051,4889,3844,2116,27241,4673,14797,10.3,14.5,29,9353.6,8,8396.96,20
"Cisco Systems, Inc. ","NasdaqGS","CSCO","Information Technology",1984,"US/CA",79500,"AA-","AA-","Public Company",4141,47.27,185991.4,51557,32282,15966,14009,11812,7079,1997,94002,9515,39773,2.83,3.53,26,19652.6,8,17921.47,24
"Bristol-Myers Squibb Company ","NYSE","BMY","Health Care",1887,"US/CA",32200,"A+","A+","Public Company",2135.3,71.5,182516.7,46385,37600,21135,10570,6617,13979,6968,109314,45596,36006,3.04,7.85,19,20603.7,7,19913.12,15
"Union Pacific Corporation ","NYSE","UNP","Industrials",1862,"US/CA",30452,"A-","A-","Public Company",624.5,239.07,182076.1,21804,13262,12022,9799,6849,960,55972,63525,31488,14161,10.8,12.2,28,13243.2,17,10904.71,22
"NIKE, Inc. ","NYSE","NKE","Consumer Discretionary",1964,"US/CA",79100,"AA-","AA-","Public Company",1568.6,113.22,177221.9,46710,21479,7515,6675,6046,8574,7717,40321,12627,15281,3.83,3.77,18,7772.4,20,7076,25
"American Tower Corporation ","NYSE","AMT","Real Estate",1995,"US/CA",6378,"BBB-","BBB-","Public Investment Firm",465.6,268.24,176058.4,9356.9,7152,6236,3338.4,2786.3,1949.9,29009.1,69887.9,52008.6,9069.6,6.11,4.57,8,6747,15,3261.73,10
"Salesforce, Inc. ","NYSE","CRM","Information Technology",1999,"US/CA",78634,"A+","A+","Public Company",999,173.91,174008.1,26492,21290,3000,129,536,5464,5695,95209,14370,58131,0.542,5.22,46,9616.5,6,7080.06,37
"QUALCOMM Incorporated ","NasdaqGS","QCOM","Information Technology",1985,"US/CA",45000,"A","A","Public Company",1123,146.25,172935.8,33566,24437,16793,15096,12861,7116,5072,41240,16299,9950,11.4,12.8,27,19795.9,8,17350.77,21
"Contemporary Amperex Technology Co., Limited ","SZSE","300750","Industrials",2011,"APAC",83601,"BBB+","BBB+","Public Company",2440.5,73.99,170480.9,20520.1,6279.3,4005.3,3060.8,2928,14021.3,11483.8,48431.6,8665.9,14580.2,1.26,1.84,27,7103,18,5140.83,21
"Charter Communications, Inc. ","NasdaqGS","CHTR","Communication Services",1993,"US/CA",93700,"BB+","BB+","Public Company",159.9,438.54,169535.7,51682,24151,21088,12004,5501,601,35616,142491,93076,18156,31.8,33.7,23,22212.8,25,12499.18,18
"International Business Machines Corporation ","NYSE","IBM","Information Technology",1911,"US/CA",282100,"A-","A-","Public Company",903.2,133.98,166892.1,57351,32234,12159,6592,5588,6650,8916,132001,55140,18996,6.22,9.88,14,16600,5,11232.54,5
"Deere & Company ","NYSE","DE","Industrials",1837,"US/CA",75550,"A","A","Public Company",305.6,388.15,166416.5,43956,12882,9395,8575,6168,7188,6074,84114,48825,18434,20.1,26.8,14,12088.6,14,11052.26,7
"Ford Motor Company ","NYSE","F","Consumer Discretionary",1903,"US/CA",183000,"BB+","BB+","Public Company",4020.2,15.93,166128.4,136341,18051,17452,11572,11671,9577,38109,257035,139485,48622,2.91,2.01,19,16157.5,5,11218.75,6
"TotalEnergies SE ","ENXTPA","TTE","Energy",1924,"EU",101309,"A+","A+","Public Company",2548.1,53.86,161854.8,184634,83215,55345,41883,21118,21342,106559,293458,64863,114999,8.16,12.5,18,62625.1,19,47778.1,16
"Linde plc ","NYSE","LIN","Materials",1879,"EU",72438,"A","A","Public Company",497.2,297.12,161494.4,30793,13601,10552,6051,3551,2823,27019,81605,15216,45441,6.98,12.2,22,11062.9,25,7938.49,24
"Mercedes-Benz Group AG ","XTRA","MBG","Consumer Discretionary",1886,"EU",172425,"A-","A-","Public Company",1069.8,56.12,161486.6,152272.3,31806.4,20540.5,16609.9,22700.2,20509.5,47648.1,295497.6,143117.3,83210.5,21.2,10.2,17,21356.3,15,16448.57,17
"Texas Instruments Incorporated ","NasdaqGS","TXN","Information Technology",1930,"US/CA",31000,"A+","A+","Public Company",913.7,177.31,160866.5,18344,13569,11247,10286,8577,4631,5606,24676,8206,13333,9.26,9.01,10,10926.1,11,9848.04,25
"Amgen Inc. ","NasdaqGS","AMGN","Health Care",1980,"US/CA",24200,"A-","A-","Public Company",534.9,245.68,160760.8,25979,19986,13178,9961,6576,7989,5750,61165,33979,6700,11.9,17.9,25,16306.7,4,12582.45,18
"Nippon Telegraph and Telephone Corporation ","TSE","9432","Communication Services",1952,"APAC",333840,"A","A","Public Company",3541.4,27.54,160235.7,100107.4,13140.6,24681.7,13140.6,8901.8,6872.6,82526.3,196503.8,67604.6,74263.6,2.5,2.58,19,25055.2,13,13782,19
"Duke Energy Corporation ","NYSE","DUK","Utilities",1904,"US/CA",27605,"BBB+","BBB+","Public Company",770,110.7,159574.5,24677,12604,11817,5984,3915,343,111292,169587,68400,51136,4.95,5.26,17,12609.7,9,6565.5,10
"Enbridge Inc. ","TSX","ENB","Energy",1949,"US/CA",10900,"BBB+","BBB+","Public Company",2024.8,44.3,156793,37195.9,14812.3,9092.8,5901.9,4143.5,226,79583.4,133437.6,60501.5,50073.9,1.88,2.33,17,12194.1,20,8551.5,3
"BHP Group Limited ","ASX","BHP","Materials",1851,"APAC",45295,"A-","A-","Public Company",5064.5,29.81,155552.3,65411,56071,37648,32940,30900,17236,61295,95166,18252,48766,6.11,3.22,17,31955.1,25,26665.63,23
"Advanced Micro Devices, Inc. ","NasdaqGS","AMD","Information Technology",1969,"US/CA",15500,"A-","A-","Public Company",1614.3,97.18,154086.7,16434,10951,5636,3632,3130,2535,1069,12419,732,7497,2.3,4.47,35,9571.8,6,8417.41,23
"General Motors Company ","NYSE","GM","Consumer Discretionary",1908,"US/CA",157000,"BBB","BBB","Public Company",1458,40.39,153883.6,127004,17901,16429,10471,8792,16067,42215,244718,110595,65815,5.31,6.97,19,26295.2,4,14221.89,14
"ConocoPhillips ","NYSE","COP","Energy",1917,"US/CA",9400,"A-","A-","Public Company",1273,112.08,151471.6,46660,34102,30218,23105,15910,5028,65560,90661,20601,45406,12.1,14.7,20,35842.4,14,27873.61,8
"Intel Corporation ","NasdaqGS","INTC","Information Technology",1968,"US/CA",121100,"A+","A+","Public Company",4106,34.89,150188.3,79024,36586,25333,12804,19105,4827,63794,168406,38641,95391,4.68,2.32,33,22541,12,10415.61,24
"Unilever PLC ","LSE","ULVR","Consumer Staples",1894,"EU",148012,"A+","A+","Public Company",2545.3,46.88,149923.3,59642.9,27197.4,11418.6,10293.7,6097.6,3883.8,11767.3,85403.2,34269.3,22456.5,2.37,2.55,18,11331,18,9527.44,18
"Honeywell International Inc. ","NasdaqGS","HON","Industrials",1885,"US/CA",99000,"A","A","Public Company",673.7,200.43,147100.2,34392,11057,8375,7172,5080,10959,6509,64470,20631,19249,7.41,9.21,26,9465.1,12,7923.13,12
"The Southern Company ","NYSE","SO","Utilities",1945,"US/CA",27164,"BBB+","BBB+","Public Company",1063,79.12,143580.7,23113,10466,8899,4880,3024,1798,92638,127534,55499,32567,2.85,3.28,12,8578.9,10,5173.15,10
"Bayerische Motoren Werke Aktiengesellschaft ","XTRA","BMW","Consumer Discretionary",1916,"EU",118909,"A","A","Public Company",657.1,74.22,140810.5,126508.6,21725.9,17693.9,12711.7,18589.8,14259.1,25387.2,261033.8,115532.8,85445.2,28.1,14.8,18,20590.1,18,14088.32,19
"British American Tobacco p.l.c. ","LSE","BATS","Consumer Staples",1902,"EU",54365,"BBB+","BBB+","Public Company",2244.3,40.72,139899.9,34777.7,26433,14469.9,13253.5,6573.9,3803.6,6706.7,186000.4,53699.3,91265,2.87,4.56,14,16046.9,10,14897.27,14
"Medtronic plc ","NYSE","MDT","Health Care",1949,"EU",95000,"A","A","Public Company",1329.7,92.14,137024,31686,21123,9548,6844,5205,3714,6267,90981,24984,52722,3.89,5.71,27,9629.7,9,8728.16,15
"Caterpillar Inc. ","NYSE","CAT","Industrials",1925,"US/CA",107700,"A","A","Public Company",527.9,198.88,136112.6,50971,13511,10492,8288,6756,8428,8797,82793,38446,16516,12.6,13.3,27,10253.6,11,8663.81,16
"Intuit Inc. ","NasdaqGS","INTU","Information Technology",1983,"US/CA",13500,"A-","A-","Public Company",282.1,465.85,135580.6,12726,10460,3177,2571,2066,2796,1437,27734,7456,16441,7.38,13.8,17,5521.4,6,5289.96,17
"China State Construction Engineering Corporation Limited ","SHSE","601668","Industrials",1982,"APAC",368327,"A","A","Public Company",41940.9,0.731,132156.7,297726.8,34432.4,18552.3,17048.2,8413,51547.5,8350,375948.3,96466.4,100699.3,0.204,0.207,10,20785.3,8,17894.11,9
"Siemens Aktiengesellschaft ","XTRA","SIE","Industrials",1847,"EU",308000,"A+","A+","Public Company",791.6,104.92,129839.8,72166.2,25594.8,10208,7545.5,2288.3,11062.8,12665.7,161808.1,56444.1,57109.4,2.85,10.6,13,16182.6,17,9821.34,12
"Lockheed Martin Corporation ","NYSE","LMT","Industrials",1912,"US/CA",114000,"A-","A-","Public Company",265.2,438.64,126175.4,67044,8589,7152,5961,4705,3604,8897,50873,13102,10959,17.4,27.4,4,9984.6,8,8651.39,14
"Petróleo Brasileiro S.A. - Petrobras ","BOVESPA","PETR4","Energy",1953,"LATAM",45532,"BB-","BB-","Public Company",13044.2,6.5,126056.2,81244.1,55288.7,57237.5,50833.7,30879.5,10483.3,125528.3,174623.7,58836.3,69921.4,2.37,2.5,4,60794.5,15,55038,14
"China Petroleum & Chemical Corporation ","SEHK","386","Energy",2000,"APAC",385691,"A+","A+","Public Company",121071.2,0.487,124395.4,431239.2,86481.6,35443.9,18935.9,11951.6,34944.6,147945.4,297398.7,49668,144199.4,0.099,0.085,14,33182.5,15,15195.07,16
"Iberdrola, S.A. ","BME","IBE","Utilities",1840,"EU",39737,"BBB+","BBB+","Public Company",6238.6,10.97,124331.6,44483.1,19260.9,12661.5,8373.4,4629.9,4586.6,92648.7,161210.1,50419.7,63830.3,0.704,0.675,16,12899.6,21,7768.27,22
"Sony Group Corporation ","TSE","6758","Consumer Discretionary",1946,"APAC",108900,"A","A","Public Company",1236.9,84.2,123388.2,81702.9,20507.3,14367.2,8376.5,6538.7,9556.6,12571.8,251008.5,27662.3,59536.9,5.28,4.94,17,13845,17,9433.41,20
"Diageo plc ","LSE","DGE","Consumer Staples",1886,"EU",28558,"A-","A-","Public Company",2276.1,45.53,122626.8,18776.4,11518.3,6277.4,5841.2,3948,2776.6,7106.1,44372.1,20388.8,11560.8,1.7,2.02,22,6983.8,16,6317.16,19
"Prologis, Inc. ","NYSE","PLD","Real Estate",1991,"US/CA",2053,"A","A","Public Investment Firm",740.4,132.78,120731.4,5163.7,4066.9,3735.4,2148.8,3734.4,556.1,45914.4,58486.2,18163.5,37742.2,5.04,3.38,5,4719.3,5,2896.21,3
"Equinor ASA ","OB","EQNR","Energy",1972,"EU",21126,"AA-","AA-","Public Company",3193.9,41.39,119590.9,90291,72552,69463,60121,16241,14126,62075,147120,36239,39024,5.04,7.05,24,86598.7,19,78076.11,20
"Dominion Energy, Inc. ","NYSE","D","Utilities",1983,"US/CA",17100,"BBB+","BBB+","Public Company",832.5,84.3,115470,13964,7037,7330,4385,2253,283,60280,99590,41433,27308,2.67,4.29,17,9391.2,7,5729.37,7
"Sanofi ","ENXTPA","SAN","Health Care",1973,"EU",95442,"AA","AA","Public Company",1254,80.18,115187.7,44552.5,30524.8,12568.5,9604.9,6944.4,11484.1,13619.9,136747.4,25491.9,78506.8,5.54,8.12,20,14345.4,17,12914.82,10
"Netflix, Inc. ","NasdaqGS","NFLX","Communication Services",1997,"US/CA",11300,"BBB","BBB","Public Company",444.7,233.98,115141.8,29697.8,12609.1,6229.3,5936.9,5094.9,6027.8,3770,44584.7,18116.6,15849.2,11.5,9.52,33,6278.6,28,5631.55,37
"PayPal Holdings, Inc. ","NasdaqGS","PYPL","Information Technology",1998,"US/CA",30900,"A-","A-","Public Company",1156.5,96.72,113929.3,25371,11471,4638,3694,2056,5197,2568,75803,9810,21727,1.76,4.4,44,7052.7,13,6177.21,36
"SAP SE ","XTRA","SAP","Information Technology",1972,"EU",110409,"A","A","Public Company",1169,87.56,110627.1,31663.8,22195.3,6584.8,5358.6,4112.5,10119.4,5572.6,80938.2,17226.2,47222.8,3.49,5.24,22,9774,11,8713.3,19
"BlackRock, Inc. ","NYSE","BLK","Financials",1988,"US/CA",18900,"AA-","AA-","Public Investment Firm",150.8,710.6,110600.3,19374,9759,7853,7437,5837,9072,2383,152648,9332,38893,38.5,34.4,12,7535.3,3,6501.18,6
"Automatic Data Processing, Inc. ","NasdaqGS","ADP","Information Technology",1949,"US/CA",60000,"AA-","AA-","Public Company",415.5,258.21,109445,16498.3,7447.1,4372.6,3857.5,2948.9,1436.3,1103.5,63068.2,3590.7,3225.3,7.04,8,18,4868.2,11,4383.57,13
"Mondelez International, Inc. ","NasdaqGS","MDLZ","Consumer Staples",2000,"US/CA",79000,"BBB","BBB","Public Company",1370.6,64.46,106039.7,28720,11325,6019,4922,3863,3546,9271,67092,20162,28323,2.78,2.96,20,6113.5,15,4991.94,17
"Crown Castle Inc. ","NYSE","CCI","Real Estate",1994,"US/CA",5000,"BBB-","BBB-","Public Investment Firm",433,177.42,104195.8,6340,4688,3916,2295,1545,292,21951,39040,27009,8258,3.57,3.87,14,4349.5,15,2457.97,10
"The Estée Lauder Companies Inc. ","NYSE","EL","Consumer Staples",1946,"US/CA",48825,"A+","A+","Public Company",356.9,277.32,103597.5,17737,13432,4273,3546,2390,3957,4599,20910,7760,6432,6.64,7.61,25,4485.2,17,3698.74,21
"HCA Healthcare, Inc. ","NYSE","HCA","Health Care",1968,"US/CA",244000,"BBB-","BBB-","Public Company",287,213.56,103561,58752,22782,12270,9356,6511,1451,26176,50742,36734,1489,21.3,18.2,19,12277.2,18,9225.43,15
